season,player,total_runs,high_score,_0_9,_10_19,_20_29,_30_39,_40_49,_50_59,_60_69,_70_79,_80_89,_90_99,_100_149,_150x
2026,Jonathan Dalley,754,167,10,1,3,8,1,2,1,0,1,0,2,1
2026,Nathan Botes,275,63,10,8,1,3,3,0,1,0,0,0,0,0
2026,Harry Carter,269,50,22,7,4,1,1,2,0,0,0,0,0,0
2026,Dan Peeroo,177,52,2,1,3,1,0,1,0,0,0,0,0,0
2026,Fin Bray,160,44,18,10,2,1,1,2,0,0,0,0,0,0
2026,Neil Winter,146,90,4,1,2,0,0,0,2,0,0,1,0,0
2026,Michael Cade,145,49,7,7,1,2,1,0,0,0,0,0,0,0
2026,Seth Roberts,133,34,7,7,1,2,1,0,0,0,0,0,0,0
2026,Branden Botes,125,50,7,7,1,2,1,0,0,0,0,0,0,0
2026,Joe Charlton,124,26,9,11,3,1,0,0,0,0,0,0,0,0
2026,Damien Herrick,107,54,9,11,3,1,0,0,0,0,0,0,0,0
2026,Joe Genever,99,32,12,4,4,2,0,0,0,0,0,0,0,0
2026,Freddie Epps,75,61,8,0,0,1,0,0,1,0,0,0,0,0
2026,Sam Dalley,24,10,4,2,0,0,0,1,0,0,0,0,0,0
2026,Kristian Ramsier,24,17,2,1,0,0,0,0,0,0,0,0,0,0
2026,Ben Jennings,23,12,3,4,2,0,0,0,0,0,0,0,0,0
2026,Richard McDermott,11,11,2,1,0,0,0,0,0,0,0,0,0,0
2026,Matt Bailey,10,5,3,0,0,0,0,0,0,0,0,0,0,0
2026,Fergus Petrie,10,10,4,1,2,0,0,0,0,0,0,0,0,0
2026,Matt Tyers,5,5,4,2,1,1,0,0,0,0,0,0,0,0
